;0
2023-01-01;0.0
2023-01-02;0.59
2023-01-03;-0.24
2023-01-04;0.23
2023-01-05;-0.41
2023-01-06;-1.77
2023-01-07;-0.36
2023-01-08;0.27
2023-01-09;-0.26
2023-01-10;1.88
2023-01-11;0.4
2023-01-12;0.0
2023-01-13;0.87
2023-01-14;1.32
2023-01-15;-1.53
2023-01-16;0.55
2023-01-17;1.23
2023-01-18;-0.46
2023-01-19;0.05
2023-01-20;0.26
2023-01-21;0.95
2023-01-22;-0.6
2023-01-23;1.19
2023-01-24;0.38
2023-01-25;-0.01
2023-01-26;-1.7
2023-01-27;1.23
2023-01-28;0.48
2023-01-29;0.56
2023-01-30;-0.65
2023-01-31;-0.52
2023-02-01;0.48
2023-02-02;0.83
2023-02-03;-0.44
2023-02-04;0.49
2023-02-05;-0.16
2023-02-06;0.04
2023-02-07;1.01
2023-02-08;-1.12
2023-02-09;-0.03
2023-02-10;-1.13
2023-02-11;1.41
2023-02-12;0.37
2023-02-13;0.5
2023-02-14;-2.36
2023-02-15;0.77
2023-02-16;0.66
2023-02-17;-0.95
2023-02-18;0.39
2023-02-19;-0.71
2023-02-20;-0.59
2023-02-21;0.04
2023-02-22;-0.07
2023-02-23;-0.49
2023-02-24;0.4
2023-02-25;0.04
2023-02-26;-0.46
2023-02-27;1.37
2023-02-28;0.75
2023-03-01;2.04
2023-03-02;-0.45
2023-03-03;0.3
2023-03-04;0.41
2023-03-05;0.12
2023-03-06;-0.11
2023-03-07;0.84
2023-03-08;1.67
2023-03-09;0.82
2023-03-10;1.08
2023-03-11;0.41
2023-03-12;0.82
2023-03-13;0.46
2023-03-14;-0.73
2023-03-15;0.22
2023-03-16;0.77
2023-03-17;-0.3
2023-03-18;-0.96
2023-03-19;-0.97
2023-03-20;1.49
2023-03-21;0.41
2023-03-22;0.46
2023-03-23;-1.87
2023-03-24;0.86
2023-03-25;1.07
2023-03-26;0.27
2023-03-27;-0.81
2023-03-28;-2.36
2023-03-29;-0.29
2023-03-30;-0.6
2023-03-31;-0.34
2023-04-01;0.24
2023-04-02;0.51
2023-04-03;0.04
2023-04-04;-0.29
2023-04-05;0.06
2023-04-06;1.37
2023-04-07;1.71
2023-04-08;-0.02
2023-04-09;0.52
2023-04-10;-0.56
2023-04-11;1.1
2023-04-12;0.95
2023-04-13;-0.06
2023-04-14;0.78
2023-04-15;0.25
2023-04-16;2.05
2023-04-17;0.47
2023-04-18;1.29
2023-04-19;1.55
2023-04-20;0.22
2023-04-21;1.82
2023-04-22;-0.63
2023-04-23;-0.21
