date;Y;X
2023-01-01;0.69;yes
2023-01-02;0.1;no
2023-01-03;0.71;yes
2023-01-04;0.76;no
2023-01-05;0.75;no
2023-01-06;0.8;no
2023-01-07;0.02;no
2023-01-08;0.7;no
2023-01-09;0.78;yes
2023-01-10;0.63;yes
2023-01-11;0.01;yes
2023-01-12;0.57;yes
2023-01-13;0.36;yes
2023-01-14;0.29;no
2023-01-15;0.1;yes
2023-01-16;0.84;no
2023-01-17;0.55;yes
2023-01-18;0.91;no
2023-01-19;0.46;no
2023-01-20;0.37;yes
2023-01-21;0.61;yes
2023-01-22;-1.38;yes
2023-01-23;0.42;no
2023-01-24;0.87;no
2023-01-25;0.5;no
2023-01-26;0.95;yes
2023-01-27;0.68;no
2023-01-28;0.58;no
2023-01-29;0.37;no
2023-01-30;0.1;no
2023-01-31;0.45;yes
2023-02-01;0.49;no
2023-02-02;0.31;yes
2023-02-03;0.32;yes
2023-02-04;0.39;no
2023-02-05;0.91;no
2023-02-06;0.29;no
2023-02-07;0.98;yes
2023-02-08;0.68;yes
2023-02-09;0.58;yes
2023-02-10;0.79;no
2023-02-11;0.51;no
2023-02-12;0.73;no
2023-02-13;0.15;no
2023-02-14;0.68;no
2023-02-15;0.58;yes
2023-02-16;0.05;no
2023-02-17;0.73;yes
2023-02-18;0.78;yes
2023-02-19;0.61;no
2023-02-20;0.85;no
2023-02-21;0.73;yes
2023-02-22;0.34;no
2023-02-23;-0.71;yes
2023-02-24;-1.19;yes
2023-02-25;0.29;yes
2023-02-26;-0.6;yes
2023-02-27;0.44;no
2023-02-28;1.51;yes
2023-03-01;0.49;yes
2023-03-02;0.16;yes
2023-03-03;0.73;yes
2023-03-04;-0.24;yes
2023-03-05;0.24;no
2023-03-06;0.94;no
2023-03-07;0.65;no
2023-03-08;0.65;yes
2023-03-09;0.92;no
2023-03-10;0.96;no
2023-03-11;0.25;no
2023-03-12;0.07;no
2023-03-13;0.91;no
2023-03-14;0.57;no
2023-03-15;0.14;no
2023-03-16;0.89;yes
2023-03-17;0.12;no
2023-03-18;0.37;no
2023-03-19;0.54;no
2023-03-20;0.07;no
2023-03-21;0.66;no
2023-03-22;0.87;yes
2023-03-23;0.99;yes
2023-03-24;0.26;no
2023-03-25;0.96;yes
2023-03-26;0.08;no
2023-03-27;0.86;yes
2023-03-28;0.49;yes
2023-03-29;0.68;no
2023-03-30;0.0;no
2023-03-31;0.52;no
2023-04-01;0.76;no
2023-04-02;0.9;no
2023-04-03;-1.17;yes
2023-04-04;0.83;yes
2023-04-05;0.21;no
2023-04-06;0.16;no
2023-04-07;0.91;no
2023-04-08;0.12;no
2023-04-09;0.84;no
