date;Y
2023-01-01;0.0
2023-01-02;0.05
2023-01-03;0.1
2023-01-04;-0.52
2023-01-05;-1.7
2023-01-06;-0.25
2023-01-07;0.17
2023-01-08;-1.23
2023-01-09;-0.71
2023-01-10;-0.42
2023-01-11;-0.07
2023-01-12;0.05
2023-01-13;0.44
2023-01-14;0.88
2023-01-15;0.79
2023-01-16;1.29
2023-01-17;1.52
2023-01-18;1.06
2023-01-19;0.78
2023-01-20;1.4
2023-01-21;0.31
2023-01-22;1.19
2023-01-23;1.23
2023-01-24;1.04
2023-01-25;0.46
2023-01-26;0.1
2023-01-27;0.48
2023-01-28;0.74
2023-01-29;0.2
2023-01-30;-0.57
2023-01-31;0.16
2023-02-01;0.47
2023-02-02;0.55
2023-02-03;0.87
2023-02-04;0.9
2023-02-05;1.36
2023-02-06;0.6
2023-02-07;-0.25
2023-02-08;1.45
2023-02-09;0.94
2023-02-10;1.26
2023-02-11;0.83
2023-02-12;0.64
2023-02-13;0.84
2023-02-14;0.65
2023-02-15;1.32
2023-02-16;0.62
2023-02-17;0.6
2023-02-18;-0.42
2023-02-19;-0.06
2023-02-20;-0.03
2023-02-21;0.55
2023-02-22;0.43
2023-02-23;0.29
2023-02-24;-1.16
2023-02-25;-0.48
2023-02-26;-0.27
2023-02-27;0.63
2023-02-28;0.55
2023-03-01;-0.45
2023-03-02;-0.2
2023-03-03;0.71
2023-03-04;0.45
2023-03-05;0.21
2023-03-06;-0.99
2023-03-07;-1.19
2023-03-08;0.02
2023-03-09;-0.01
2023-03-10;0.28
2023-03-11;-0.46
2023-03-12;-0.04
2023-03-13;0.32
2023-03-14;0.15
2023-03-15;-0.28
2023-03-16;-0.63
2023-03-17;0.12
2023-03-18;0.0
2023-03-19;-0.91
2023-03-20;-0.67
2023-03-21;-1.08
2023-03-22;-0.89
2023-03-23;-0.31
2023-03-24;-0.01
2023-03-25;0.72
2023-03-26;0.47
2023-03-27;0.91
2023-03-28;0.48
2023-03-29;1.02
2023-03-30;0.76
2023-03-31;1.13
2023-04-01;0.26
2023-04-02;-0.21
2023-04-03;0.57
2023-04-04;0.86
2023-04-05;0.65
2023-04-06;0.86
2023-04-07;0.16
2023-04-08;0.89
2023-04-09;0.72
2023-04-10;0.33
2023-04-11;0.65
2023-04-12;1.2
2023-04-13;0.78
2023-04-14;0.91
2023-04-15;0.54
2023-04-16;0.8
2023-04-17;1.06
2023-04-18;1.37
2023-04-19;0.32
2023-04-20;-0.5
2023-04-21;0.41
2023-04-22;1.29
2023-04-23;0.79
2023-04-24;1.03
2023-04-25;1.14
2023-04-26;0.92
2023-04-27;0.18
2023-04-28;1.09
2023-04-29;1.93
2023-04-30;1.02
2023-05-01;0.17
2023-05-02;0.29
2023-05-03;1.4
2023-05-04;1.24
2023-05-05;0.11
2023-05-06;0.41
2023-05-07;0.59
2023-05-08;0.34
2023-05-09;0.93
2023-05-10;0.97
2023-05-11;0.64
2023-05-12;1.84
2023-05-13;1.2
2023-05-14;0.97
2023-05-15;1.38
2023-05-16;1.03
2023-05-17;0.82
2023-05-18;0.64
2023-05-19;0.93
2023-05-20;0.7
2023-05-21;0.7
2023-05-22;0.74
2023-05-23;0.67
2023-05-24;1.69
2023-05-25;1.07
2023-05-26;0.91
2023-05-27;1.3
2023-05-28;0.86
2023-05-29;-0.72
2023-05-30;-0.24
2023-05-31;0.38
2023-06-01;1.5
2023-06-02;0.56
2023-06-03;0.71
2023-06-04;0.7
2023-06-05;1.47
2023-06-06;0.85
2023-06-07;-0.26
2023-06-08;0.26
2023-06-09;1.28
2023-06-10;2.38
2023-06-11;1.79
2023-06-12;0.79
2023-06-13;0.0
2023-06-14;-0.41
2023-06-15;-0.57
2023-06-16;0.5
2023-06-17;0.36
2023-06-18;-0.3
2023-06-19;-0.21
2023-06-20;0.14
2023-06-21;0.41
2023-06-22;-0.02
2023-06-23;-0.17
2023-06-24;-0.61
2023-06-25;-0.61
2023-06-26;-0.28
2023-06-27;-1.07
2023-06-28;0.29
2023-06-29;0.46
2023-06-30;0.53
2023-07-01;-0.29
2023-07-02;0.12
2023-07-03;0.41
2023-07-04;0.65
2023-07-05;0.8
2023-07-06;1.14
2023-07-07;0.65
2023-07-08;-0.14
2023-07-09;0.28
2023-07-10;-0.37
2023-07-11;-0.35
2023-07-12;0.4
2023-07-13;0.38
2023-07-14;0.76
2023-07-15;0.53
2023-07-16;0.71
2023-07-17;0.37
2023-07-18;0.34
2023-07-19;0.94
2023-07-20;1.41
2023-07-21;1.13
2023-07-22;0.97
2023-07-23;0.47
2023-07-24;1.0
2023-07-25;0.85
2023-07-26;0.6
2023-07-27;2.13
2023-07-28;1.83
2023-07-29;1.34
2023-07-30;0.81
2023-07-31;1.69
2023-08-01;1.4
2023-08-02;1.27
2023-08-03;1.94
2023-08-04;2.12
2023-08-05;1.89
2023-08-06;1.66
2023-08-07;1.33
2023-08-08;1.43
2023-08-09;2.47
2023-08-10;2.37
2023-08-11;1.06
2023-08-12;1.67
2023-08-13;2.79
2023-08-14;2.47
2023-08-15;1.73
2023-08-16;1.68
2023-08-17;1.75
2023-08-18;0.81
2023-08-19;1.04
2023-08-20;1.11
2023-08-21;0.82
2023-08-22;1.1
2023-08-23;2.48
2023-08-24;2.1
2023-08-25;1.94
2023-08-26;1.45
2023-08-27;1.14
2023-08-28;1.07
2023-08-29;2.27
2023-08-30;1.96
2023-08-31;2.01
2023-09-01;1.57
2023-09-02;1.98
2023-09-03;2.04
2023-09-04;1.32
2023-09-05;1.52
2023-09-06;1.89
2023-09-07;2.0
2023-09-08;1.15
2023-09-09;1.41
2023-09-10;1.68
2023-09-11;1.46
2023-09-12;0.37
2023-09-13;0.52
2023-09-14;0.3
2023-09-15;-0.15
2023-09-16;0.45
2023-09-17;0.89
2023-09-18;0.55
2023-09-19;0.02
2023-09-20;1.06
2023-09-21;0.46
2023-09-22;-0.58
2023-09-23;-0.12
2023-09-24;0.39
2023-09-25;-0.86
2023-09-26;-1.21
2023-09-27;0.44
2023-09-28;1.62
2023-09-29;0.7
2023-09-30;0.54
2023-10-01;0.81
2023-10-02;0.05
2023-10-03;-0.08
2023-10-04;-0.51
2023-10-05;-0.2
2023-10-06;0.67
2023-10-07;0.57
2023-10-08;0.2
2023-10-09;-0.22
2023-10-10;-0.1
2023-10-11;0.59
2023-10-12;0.65
2023-10-13;-0.13
2023-10-14;0.51
2023-10-15;1.23
2023-10-16;0.98
2023-10-17;1.02
2023-10-18;0.96
2023-10-19;1.38
2023-10-20;1.16
2023-10-21;1.04
2023-10-22;1.2
2023-10-23;1.37
2023-10-24;0.86
2023-10-25;1.2
2023-10-26;1.29
2023-10-27;1.43
2023-10-28;1.6
2023-10-29;1.79
2023-10-30;1.15
2023-10-31;1.44
2023-11-01;0.63
2023-11-02;0.46
2023-11-03;1.56
2023-11-04;1.18
2023-11-05;0.91
2023-11-06;1.1
2023-11-07;1.41
2023-11-08;1.97
2023-11-09;1.58
2023-11-10;1.63
2023-11-11;1.55
2023-11-12;1.4
2023-11-13;1.18
2023-11-14;1.96
2023-11-15;2.4
2023-11-16;1.8
2023-11-17;1.68
2023-11-18;1.0
2023-11-19;1.48
2023-11-20;1.35
2023-11-21;1.44
2023-11-22;1.8
2023-11-23;1.35
2023-11-24;1.98
2023-11-25;1.66
2023-11-26;2.46
2023-11-27;2.54
2023-11-28;1.34
2023-11-29;1.56
2023-11-30;2.34
2023-12-01;1.59
2023-12-02;0.32
2023-12-03;0.33
2023-12-04;0.96
2023-12-05;0.39
2023-12-06;0.86
2023-12-07;1.08
2023-12-08;0.9
2023-12-09;0.64
2023-12-10;1.52
2023-12-11;2.0
2023-12-12;0.74
2023-12-13;1.35
2023-12-14;0.8
2023-12-15;0.72
2023-12-16;0.86
2023-12-17;0.59
2023-12-18;0.75
2023-12-19;-0.17
2023-12-20;-0.59
2023-12-21;-0.09
2023-12-22;0.37
2023-12-23;0.41
2023-12-24;1.53
2023-12-25;0.8
2023-12-26;0.15
2023-12-27;0.66
2023-12-28;0.66
2023-12-29;0.07
2023-12-30;-0.32
2023-12-31;0.29
2024-01-01;-0.26
2024-01-02;0.05
2024-01-03;0.51
2024-01-04;0.48
2024-01-05;0.72
2024-01-06;0.17
2024-01-07;-0.2
2024-01-08;0.57
2024-01-09;1.29
2024-01-10;0.36
2024-01-11;-0.12
2024-01-12;-0.03
2024-01-13;0.4
2024-01-14;-0.07
2024-01-15;0.59
2024-01-16;0.29
2024-01-17;-0.6
2024-01-18;-0.58
2024-01-19;0.5
2024-01-20;0.35
2024-01-21;0.05
2024-01-22;-0.04
2024-01-23;0.22
